1|SHOES|shoes|1|17|52|2023-01-22|2023-10-21
14|ING02|FF SHOES 2 (4/4.5/5/5.5/.../11)|1|4|12|2022-03-12|2023-09-19
110|CLOTHING WOMEN'S FR|France|0|32|48|2022-12-22|2023-11-14
111|CLOTHING WOMEN'S IT|Italy|0|36|52|2022-03-17|2023-09-08
112|CLOTHING WOMEN'S JAPAN|Japan|0|3|19|2022-08-11|2024-09-19
114|CLOTHING MEN'S FR|France|1|36|54|2022-03-28|2023-07-07
115|CLOTHING MEN'S IT/FR|Italy/France|0|40|58|2022-10-08|2024-01-13
116|CLOTHING MEN'S STANDARD NUMERIC|Standard Numeric|0|0|7|2023-01-12|2024-07-16
117|CLOTHING MEN'S ITALIAN ROMAN|Roman Numeric|0|III|VII|2023-01-13|2024-03-06
118|CLOTHING MEN'S JAPAN|Japan|0|0|8|2022-03-11|2024-04-17
121|SHOES WOMEN'S UK|UK|0|1|14|2023-04-21|2024-07-04
122|SHOES WOMEN'S US|US|0|4|17|2022-03-26|2024-10-25
124|SHOES WOMEN'S IT|Italy|0|34|47|2022-02-12|2024-06-02
125|SHOES MEN'S UK|UK|0|2|15|2023-02-11|2024-06-09
126|SHOES WOMEN'S JAPAN|Japan|0|21|34|2023-04-01|2023-09-26
127|SHOES MEN'S US|US|0|3|16|2022-02-07|2024-11-18
129|SHOES MEN'S JAPAN|Japan|0|21|34|2022-07-10|2024-11-12
131|GLOVES WOMEN'S CM NEW|GLOVES WOMEN'S CM NEW|1|19|30.5|2022-09-24|2023-07-31
133|GLOVES MEN'S CM|GLOVES CM|0|19|30.5|2023-01-16|2024-04-03
135|WIDTH/LENGTH WOMEN'S|WIDTH/LENGTH|0|24|34|2022-12-15|2023-11-29
138|RINGS WOMEN'S UK|UK|0|C 1/2|S 1/2|2022-04-05|2023-09-20
139|RINGS WOMEN'S MM|MM|0|41|60.1|2023-03-10|2023-10-10
142|RINGS MEN'S MM|MM|0|48|69.1|2022-07-20|2024-10-20
146|Shoes Men's Brazil|Men's Standard Brazilian Shoes|0|34|47|2022-10-14|2024-02-17
