1|1001|1998-06-22|F|N|2|France|FR|2018-06-09||1
2|1002|1989-04-18|F|N|4|United States|EN|2020-04-19||1
3|1003|2009-01-27|M|N|2|France|FR|2023-03-14||1
4|1004|1998-11-02|F|N|4|United States|EN|2020-07-10||1
5|1005|1995-10-18|F|Y|1|Portugal|PT|2020-09-07||1
6|1006|1979-12-10|M|N|2|France|FR|2022-09-17||1
7|1007|2005-12-08|M|N|2|France|FR|2023-04-13||1
8|1008|2000-10-17|F|N|2|Spain|ES|2022-11-07||1
9|1009|2000-08-22|M|N|2|Spain|ES|2021-03-18||1
10|1010|1998-03-01|F|Y|2|Spain|ES|2022-03-16||1
11|1011|1985-03-18|M|N|2|Spain|ES|2020-10-21||1
12|1012|1998-05-03|M|N|4|United States|EN|2022-06-17||1
13|1013|2017-06-19|F|N|4|United States|EN|2019-07-30||1
14|1014|2004-06-04|M|N|4|United States|EN|2020-11-15||1
15|1015|2004-02-29|M|Y|2|Spain|ES|2023-04-29||1
16|1016|1997-10-22|F|N|5|Germany|DE|2021-09-19||1
17|1017|1990-08-06|M|N|2|France|FR|2018-09-13||1
18|1018|1984-10-30|M|N|4|United States|EN|2020-04-23||1
19|1019|2001-03-03|F|N|2|Spain|ES|2022-01-14||1
20|1020|1994-09-29|M|Y|2|France|FR|2023-03-26||1
21|1021|2005-07-21|F|N|2|France|FR|2018-04-16||1
22|1022|1987-08-13|M|N|2|France|FR|2021-02-15||1
23|1023|2002-04-02|M|N|2|France|FR|2020-10-25||1
24|1024|1991-02-21|M|N|3|Brazil|PT|2022-04-11||1
25|1025|2017-01-08|M|Y|2|France|FR|2021-08-05||1
26|1026|2010-02-26|M|N|4|United States|EN|2022-10-31||1
27|1027|2002-06-25|M|N|2|France|FR|2018-09-17||1
28|1028|2012-09-26|M|N|2|Spain|ES|2021-12-08||1
29|1029|1995-02-11|M|N|2|Spain|ES|2022-10-05||1
30|1030|1988-05-31|F|Y|5|Germany|DE|2020-05-25||1
31|1031|2019-01-28|M|N|1|Portugal|PT|2021-05-15||1
32|1032|1983-04-25|M|N|2|Spain|ES|2021-06-26||1
33|1033|2011-05-16|F|N|2|Spain|ES|2020-03-18||1
34|1034|1980-06-05|M|N|2|Spain|ES|2018-02-23||1
35|1035|2004-12-22|M|Y|5|Germany|DE|2020-04-11||1
36|1036|2006-12-31|F|N|5|Germany|DE|2020-09-29||1
37|1037|1979-03-24|F|N|5|Germany|DE|2022-12-26||1
38|1038|1981-09-04|M|N|2|Spain|ES|2019-05-01||1
39|1039|1988-04-01|M|N|1|Portugal|PT|2023-03-08||1
40|1040|1990-05-27|F|Y|3|Brazil|PT|2018-04-28||1
41|1041|2015-08-03|F|N|1|Portugal|PT|2019-12-11||1
42|1042|2013-12-30|F|N|2|Spain|ES|2021-12-18||1
43|1043|1981-02-22|M|N|2|Spain|ES|2023-04-13||1
44|1044|2016-01-22|F|N|5|Germany|DE|2023-05-05||1
45|1045|2010-05-31|F|Y|1|Portugal|PT|2019-02-26||1
46|1046|2019-08-02|F|N|4|United States|EN|2019-05-15||1
47|1047|1984-12-03|M|N|3|Brazil|PT|2018-01-29||1
48|1048|1998-06-09|F|N|5|Germany|DE|2021-11-03||1
49|1049|2014-01-27|F|N|1|Portugal|PT|2020-05-02||1
50|1050|2017-10-21|M|Y|3|Brazil|PT|2020-08-08||1
51|1051|2020-03-06|F|N|2|France|FR|2021-09-25||1
52|1052|1986-10-21|F|N|4|United States|EN|2023-03-22||1
53|1053|1997-03-20|M|N|5|Germany|DE|2021-05-22||1
54|1054|1984-02-08|M|N|3|Brazil|PT|2022-03-14||1
55|1055|2003-04-18|M|Y|3|Brazil|PT|2018-04-01||1
56|1056|1985-11-30|F|N|1|Portugal|PT|2021-05-31||1
57|1057|1983-10-23|M|N|2|Spain|ES|2020-02-17||1
58|1058|2004-02-12|F|N|3|Brazil|PT|2019-07-15||1
59|1059|2003-08-16|M|N|1|Portugal|PT|2018-05-23||1
60|1060|1995-11-27|F|Y|4|United States|EN|2020-10-09||1
61|1061|1995-02-10|M|N|3|Brazil|PT|2019-06-17||1
62|1062|2007-06-01|F|N|4|United States|EN|2019-03-08||1
63|1063|2000-02-17|F|N|5|Germany|DE|2022-03-16||1
64|1064|1981-07-16|M|N|4|United States|EN|2021-01-09||1
65|1065|1986-05-16|F|Y|2|Spain|ES|2018-06-17||1
66|1066|1985-06-02|M|N|5|Germany|DE|2020-11-29||1
67|1067|2017-11-30|M|N|4|United States|EN|2018-08-02||1
68|1068|1980-02-28|M|N|4|United States|EN|2018-11-11||1
69|1069|1992-07-01|F|N|5|Germany|DE|2018-11-21||1
70|1070|1995-02-05|F|Y|1|Portugal|PT|2020-03-04||1
71|1071|2004-10-05|F|N|3|Brazil|PT|2019-12-02||1
72|1072|1980-01-26|F|N|1|Portugal|PT|2021-05-15||1
73|1073|1988-04-12|F|N|2|France|FR|2018-12-27||1
74|1074|1993-03-14|M|N|5|Germany|DE|2022-10-26||1
75|1075|2017-05-09|M|Y|1|Portugal|PT|2020-06-09||1
76|1076|2016-06-08|F|N|2|France|FR|2022-02-08||1
77|1077|2003-03-18|F|N|1|Portugal|PT|2020-10-12||1
78|1078|2012-11-29|F|N|2|France|FR|2020-05-26||1
79|1079|2003-06-20|F|N|2|France|FR|2023-01-26||1
80|1080|2007-02-23|M|Y|1|Portugal|PT|2020-04-24||1
81|1081|2006-08-25|M|N|1|Portugal|PT|2019-11-04||1
82|1082|1987-11-05|F|N|5|Germany|DE|2020-04-21||1
83|1083|2004-07-02|M|N|4|United States|EN|2019-10-01||1
84|1084|2000-03-07|F|N|4|United States|EN|2018-04-07||1
85|1085|1982-05-05|F|Y|5|Germany|DE|2021-04-18||1
86|1086|2018-11-29|F|N|2|Spain|ES|2019-11-27||1
87|1087|2006-04-11|F|N|2|Spain|ES|2021-11-10||1
88|1088|1993-07-08|M|N|3|Brazil|PT|2022-04-17||1
89|1089|2008-12-06|M|N|3|Brazil|PT|2023-05-02||1
