20240102|688|702|4|9|15|20000|1|7|2|61.7537|3.0877|3.0877|14.4317|131.7637|0.1606|0.0080|0.0080|0.0375|0.3426
20240103|75|820|6|1|2|20000|2|2|6|110.6495|0.0000|0.0000|19.7622|683.6592|101.7975|0.0000|0.0000|18.1812|628.9665
20240104|577|647|5|15|14|20001|3|5|3|228.0505|11.4025|0.0000|15.7825|688.5315|234.8920|11.7446|0.0000|16.2560|709.1874
20240105|347|962|7|12|7|20001|4|7|5|21.3631|1.0682|1.0682|10.9657|115.6448|0.0555|0.0028|0.0028|0.0285|0.3007
20240106|137|27|10|2|18|20001|5|5|3|265.6040|13.2802|39.8406|8.2893|751.9805|273.5721|13.6786|41.0358|8.5380|774.5399
20240107|20|611|10|9|8|20002|6|3|1|214.8710|0.0000|10.7436|4.4611|208.5885|251.3991|0.0000|12.5700|5.2195|244.0485
20240108|252|988|7|5|8|20002|7|2|4|189.7808|9.4890|28.4671|14.6644|735.8315|174.5983|8.7299|26.1897|13.4912|676.9650
20240109|712|630|7|8|20|20002|8|7|3|271.6990|0.0000|13.5850|12.5632|814.0752|0.7064|0.0000|0.0353|0.0327|2.1166
20240110|277|791|4|11|16|20003|9|2|1|6.6788|0.3339|1.0018|14.0445|19.3876|6.1445|0.3072|0.9217|12.9209|17.8366
20240111|295|323|9|13|13|20003|10|4|5|296.4283|29.6428|0.0000|9.4172|1461.9159|53.3571|5.3357|0.0000|1.6951|263.1449
20240112|775|529|8|6|4|20003|11|2|5|26.7571|2.6757|4.0136|7.2730|134.3692|24.6165|2.4616|3.6925|6.6912|123.6197
20240113|640|296|1|11|20|20004|12|6|2|91.9175|9.1918|0.0000|9.2778|183.9210|8.0887|0.8089|0.0000|0.8164|16.1850
20240114|245|302|4|15|13|20004|13|2|4|168.0650|8.4032|25.2097|12.2539|650.9010|154.6198|7.7309|23.1929|11.2736|598.8289
20240115|790|35|1|10|19|20004|14|1|1|79.5336|3.9767|3.9767|7.3771|78.9573|79.5336|3.9767|3.9767|7.3771|78.9573
20240116|574|967|3|6|8|20005|15|7|2|262.0788|0.0000|13.1039|18.7149|529.7686|0.6814|0.0000|0.0341|0.0487|1.3774
20240117|449|466|9|5|11|20005|16|4|6|246.4840|0.0000|12.3242|9.8544|1476.4342|44.3671|0.0000|2.2184|1.7738|265.7582
20240118|745|696|8|2|10|20005|17|1|4|155.4135|0.0000|23.3120|19.9413|618.2833|155.4135|0.0000|23.3120|19.9413|618.2833
20240119|50|140|8|8|14|20006|18|7|4|74.5101|7.4510|11.1765|11.4074|290.8203|0.1937|0.0194|0.0291|0.0297|0.7561
20240120|725|675|2|14|13|20006|19|5|6|148.6645|0.0000|0.0000|3.7573|895.7443|153.1244|0.0000|0.0000|3.8700|922.6166
20240121|856|368|3|9|17|20006|20|4|6|97.0138|9.7014|14.5521|12.4918|570.3211|17.4625|1.7463|2.6194|2.2485|102.6578
20240122|840|165|9|15|6|20007|21|4|2|29.1783|2.9178|4.3767|2.0185|53.0806|5.2521|0.5252|0.7878|0.3633|9.5545
20240123|406|871|9|8|2|20007|22|5|3|244.4568|0.0000|12.2228|9.0841|730.2317|251.7905|0.0000|12.5895|9.3566|752.1387
20240124|733|425|5|8|3|20007|23|2|6|271.7128|27.1713|13.5856|7.0037|1596.5236|249.9758|24.9976|12.4988|6.4434|1468.8017
20240125|212|20|6|13|12|20008|24|3|5|71.4305|7.1430|3.5715|9.1674|355.6054|83.5737|8.3573|4.1787|10.7259|416.0583
20240126|799|425|6|3|6|20008|25|5|2|76.5935|3.8297|3.8297|15.3884|160.9160|78.8913|3.9446|3.9446|15.8501|165.7435
20240127|446|875|6|4|7|20008|26|7|1|6.2733|0.0000|0.0000|10.6746|16.9479|0.0163|0.0000|0.0000|0.0278|0.0441
20240128|192|909|6|13|18|20009|27|2|5|133.6699|0.0000|20.0505|18.6212|666.9202|122.9763|0.0000|18.4465|17.1315|613.5666
20240129|315|725|8|13|15|20009|28|5|5|273.4314|0.0000|41.0147|17.8052|1343.9475|281.6343|0.0000|42.2451|18.3394|1384.2659
20240130|507|673|3|10|11|20009|29|7|3|19.4293|0.0000|0.9715|13.5342|70.8506|0.0505|0.0000|0.0025|0.0352|0.1842
20240131|541|636|5|13|10|20010|30|6|4|147.1331|0.0000|7.3567|19.1210|600.2967|12.9477|0.0000|0.6474|1.6826|52.8261
20240201|449|335|7|4|8|20010|31|7|4|243.4723|12.1736|36.5208|11.8924|937.0872|0.6330|0.0317|0.0950|0.0309|2.4364
20240202|960|376|1|11|8|20010|32|3|3|66.5632|0.0000|9.9845|19.3159|209.0210|77.8789|0.0000|11.6819|22.5996|244.5546
20240203|147|729|6|4|18|20011|33|4|5|188.9668|0.0000|0.0000|18.4933|963.3273|34.0140|0.0000|0.0000|3.3288|173.3989
20240204|495|594|5|5|15|20011|34|6|5|242.1405|0.0000|12.1070|14.8634|1213.4589|21.3084|0.0000|1.0654|1.3080|106.7844
20240205|814|641|9|14|10|20011|35|6|4|154.3270|7.7164|7.7164|16.2806|618.1558|13.5808|0.6790|0.6790|1.4327|54.3977
20240206|831|943|8|3|12|20012|36|5|5|35.9575|1.7979|5.3936|19.9875|192.5835|37.0362|1.8518|5.5554|20.5871|198.3610
20240207|298|69|10|15|9|20012|37|6|1|77.3421|7.7342|0.0000|2.5633|72.1712|6.8061|0.6806|0.0000|0.2256|6.3511
20240208|193|542|2|15|12|20012|38|2|3|290.5290|0.0000|14.5265|16.0365|873.0970|267.2867|0.0000|13.3644|14.7536|803.2492
20240209|747|210|6|5|18|20013|39|5|4|36.7788|1.8389|5.5168|12.3775|152.1370|37.8822|1.8941|5.6823|12.7488|156.7011
20240210|924|659|9|9|19|20013|40|3|1|31.8276|3.1828|4.7741|16.4138|40.2845|37.2383|3.7239|5.5857|19.2041|47.1329
20240211|672|644|9|10|9|20013|41|7|3|168.3826|16.8383|8.4191|17.9075|497.7979|0.4378|0.0438|0.0219|0.0466|1.2943
20240212|406|807|10|7|14|20014|42|3|6|149.4909|0.0000|22.4236|14.0000|888.5218|174.9044|0.0000|26.2356|16.3800|1039.5705
20240213|10|202|10|1|15|20014|43|3|3|275.8931|27.5893|41.3840|5.0557|763.7617|322.7949|32.2795|48.4193|5.9152|893.6012
20240214|62|963|10|3|4|20014|44|5|1|225.4712|22.5471|33.8207|3.3735|172.4769|232.2353|23.2235|34.8353|3.4747|177.6512
20240215|264|279|8|10|4|20015|45|6|5|85.0017|0.0000|12.7503|17.4508|429.7090|7.4801|0.0000|1.1220|1.5357|37.8144
20240216|22|369|8|9|7|20015|46|1|3|158.3920|15.8392|23.7588|12.3567|447.9347|158.3920|15.8392|23.7588|12.3567|447.9347
20240217|361|750|5|15|20|20015|47|7|1|296.6464|14.8323|14.8323|17.1651|284.1469|0.7713|0.0386|0.0386|0.0446|0.7388
20240218|890|371|9|2|20|20016|48|1|6|16.7367|0.8368|2.5105|3.6699|100.7428|16.7367|0.8368|2.5105|3.6699|100.7428
20240219|174|494|5|10|16|20016|49|1|5|202.4871|20.2487|30.3731|5.1881|967.0018|202.4871|20.2487|30.3731|5.1881|967.0018
20240220|540|564|8|3|13|20016|50|3|5|141.3065|7.0653|7.0653|17.7622|710.1641|165.3286|8.2664|8.2664|20.7818|830.8920
20240221|593|58|5|11|10|20017|51|2|5|280.3201|0.0000|0.0000|6.9085|1408.5090|257.8945|0.0000|0.0000|6.3558|1295.8283
20240222|508|506|10|15|15|20017|52|7|2|84.4716|0.0000|12.6707|7.8926|164.1651|0.2196|0.0000|0.0329|0.0205|0.4268
20240223|495|10|3|6|15|20017|53|4|4|121.5419|0.0000|18.2313|4.5849|472.5212|21.8775|0.0000|3.2816|0.8253|85.0538
20240224|358|756|10|6|18|20018|54|5|1|54.5565|2.7278|8.1835|3.8254|47.4706|56.1932|2.8096|8.4290|3.9402|48.8947
20240225|598|506|4|8|18|20018|55|5|4|25.7672|1.2884|1.2884|7.8069|108.2989|26.5402|1.3271|1.3271|8.0411|111.5479
20240226|788|394|3|15|4|20018|56|4|2|66.8535|0.0000|0.0000|16.7266|150.4336|12.0336|0.0000|0.0000|3.0108|27.0780
20240227|263|736|8|11|6|20019|57|2|2|199.6551|0.0000|0.0000|14.2249|413.5351|183.6827|0.0000|0.0000|13.0869|380.4523
20240228|652|984|10|3|6|20019|58|5|3|30.3310|1.5166|0.0000|11.0574|100.5338|31.2409|1.5621|0.0000|11.3891|103.5498
20240229|501|715|9|12|8|20019|59|1|6|296.7432|14.8372|44.5115|8.4329|1729.5434|296.7432|14.8372|44.5115|8.4329|1729.5434
20240101|81|265|8|7|16|20020|60|3|2|250.6992|12.5350|37.6049|19.5991|470.8576|293.3181|14.6659|43.9977|22.9309|550.9034
20240102|497|582|1|3|7|20020|61|7|3|288.6760|0.0000|43.3014|3.4180|826.1446|0.7506|0.0000|0.1126|0.0089|2.1480
20240103|138|838|8|6|12|20020|62|2|6|180.0504|9.0025|0.0000|7.2877|1078.5876|165.6464|8.2823|0.0000|6.7047|992.3006
20240104|126|782|5|7|8|20021|63|6|6|125.8163|0.0000|6.2908|17.8056|766.4126|11.0718|0.0000|0.5536|1.5669|67.4443
20240105|743|739|5|3|11|20021|64|6|4|165.3298|8.2665|24.7995|15.7725|644.0257|14.5490|0.7275|2.1824|1.3880|56.6743
