1|5001|Clothing Product 5001|1|1|Clothing|Box 7 - Large Clothing|U|2019-09-29||1
2|5002|Accessories Product 5002|1|1|Accessories|Box 7 - Large Clothing|U|2021-05-08||1
3|5003|Shoes Product 5003|1|1|Shoes|Box 12 - Boots|M|2021-03-16||1
4|5004|Shoes Product 5004|1|1|Shoes|US Shoes A|M|2019-10-19||1
5|5005|Clothing Product 5005|1|1|Clothing|Box 2 - Shoes A|U|2019-10-21||1
6|5006|Accessories Product 5006|1|1|Accessories|Box 12 - Boots|U|2021-11-25||1
7|5007|Bags Product 5007|1|0|Bags|Box 16 - T-Shirt|F|2019-07-28||1
8|5008|Shoes Product 5008|1|1|Shoes|Box 3 - Shoes|M|2020-12-27||1
9|5009|Sportswear Product 5009|1|1|Sportswear|Box 3 - Shoes|M|2019-01-31||1
10|5010|Accessories Product 5010|0|1|Accessories|Box 2 - Shoes A|U|2021-05-07|2022-05-07|0
11|5011|Sportswear Product 5011|1|1|Sportswear|Box 3 - Shoes|M|2023-03-04||1
12|5012|Accessories Product 5012|1|1|Accessories|Box 11 - Coats/Bags|U|2021-07-05||1
13|5013|Shoes Product 5013|1|1|Shoes|Box 7 - Large Clothing|M|2022-11-30||1
14|5014|Sportswear Product 5014|1|0|Sportswear|Box 11 - Coats/Bags|M|2022-07-13||1
15|5015|Shoes Product 5015|1|1|Shoes|Box 4 - Boots A|M|2022-09-27||1
16|5016|Clothing Product 5016|1|1|Clothing|Box 7 - Large Clothing|U|2020-09-13||1
17|5017|Accessories Product 5017|1|1|Accessories|Box 12 - Boots|U|2021-10-02||1
18|5018|Clothing Product 5018|1|1|Clothing|Box 12 - Boots|U|2020-02-12||1
19|5019|Shoes Product 5019|1|1|Shoes|Box 4 - Boots A|M|2019-08-13||1
20|5020|Accessories Product 5020|0|1|Accessories|Box 4 - Boots A|U|2021-02-04|2022-02-04|0
21|5021|Shoes Product 5021|1|0|Shoes|Box 11 - Coats/Bags|M|2021-08-30||1
22|5022|Clothing Product 5022|1|1|Clothing|Box 3 - Shoes|U|2020-09-04||1
23|5023|Clothing Product 5023|1|1|Clothing|Box 12 - Boots|U|2021-12-06||1
24|5024|Sportswear Product 5024|1|1|Sportswear|Box 16 - T-Shirt|M|2019-08-23||1
25|5025|Accessories Product 5025|1|1|Accessories|Box 4 - Boots A|U|2021-01-03||1
26|5026|Clothing Product 5026|1|1|Clothing|US Shoes A|U|2019-01-17||1
27|5027|Bags Product 5027|1|1|Bags|Box 16 - T-Shirt|F|2023-07-02||1
28|5028|Sportswear Product 5028|1|0|Sportswear|Box 4 - Boots A|M|2020-09-18||1
29|5029|Bags Product 5029|1|1|Bags|Box 16 - T-Shirt|F|2020-10-14||1
30|5030|Shoes Product 5030|0|1|Shoes|Box 11 - Coats/Bags|M|2020-09-08|2021-09-08|0
31|5031|Shoes Product 5031|1|1|Shoes|Box 7 - Large Clothing|M|2020-01-13||1
32|5032|Shoes Product 5032|1|1|Shoes|Box 11 - Coats/Bags|M|2022-07-12||1
33|5033|Sportswear Product 5033|1|1|Sportswear|US Shoes A|M|2022-05-15||1
34|5034|Accessories Product 5034|1|1|Accessories|Box 4 - Boots A|U|2020-09-25||1
35|5035|Accessories Product 5035|1|0|Accessories|Box 16 - T-Shirt|U|2020-05-21||1
36|5036|Shoes Product 5036|1|1|Shoes|Box 2 - Shoes A|M|2020-04-19||1
37|5037|Clothing Product 5037|1|1|Clothing|Box 7 - Large Clothing|U|2023-06-04||1
38|5038|Accessories Product 5038|1|1|Accessories|Box 2 - Shoes A|U|2021-12-04||1
39|5039|Sportswear Product 5039|1|1|Sportswear|Box 4 - Boots A|M|2021-05-02||1
40|5040|Bags Product 5040|0|1|Bags|Box 16 - T-Shirt|F|2022-12-25|2023-12-25|0
41|5041|Clothing Product 5041|1|1|Clothing|Box 2 - Shoes A|U|2020-12-28||1
42|5042|Accessories Product 5042|1|0|Accessories|Box 12 - Boots|U|2022-10-16||1
43|5043|Sportswear Product 5043|1|1|Sportswear|Box 11 - Coats/Bags|M|2019-12-07||1
