728|9||F|0||0|2022-12-15|2024-06-13
1383|8|26/06/1974 00:00|M|3||0|2022-06-01|2024-10-10
4616|20|24/06/1985 00:00|M|0||0|2023-01-19|2024-10-05
5692|13||F|0||0|2022-06-11|2024-06-16
10801|27||F|0||0|2022-05-26|2023-09-18
13458|27||F|0||0|2023-03-11|2024-04-05
14313|1|22/09/1961 00:00|M|0||0|2022-03-26|2023-09-24
16936|27||F|0||0|2022-03-27|2023-12-12
17371|27||F|0||0|2023-02-18|2024-04-09
19555|27||F|0||0|2023-06-03|2023-10-02
22104|12||F|0||0|2022-03-11|2023-10-26
25616|5||F|0||0|2022-08-06|2023-07-09
25866|5|21/04/1980 00:00|M|0||0|2022-04-16|2023-12-13
28133|7||F|0||0|2023-06-28|2023-11-26
28524|9|28/06/1980 00:00|M|0||0|2023-05-17|2023-11-12
31513|27|01/01/2013 00:00|M|0||0|2022-01-07|2024-10-05
32114|27||F|0||0|2022-09-18|2023-10-06
34672|26|01/03/1980 00:00|M|0||0|2022-12-10|2023-08-21
35495|8||F|0||0|2022-07-22|2023-07-30
40978|26|1799-01-01 00:00:00|M|0||0|2023-04-11|2024-12-29
41437|23||F|0||0|2022-12-10|2024-10-02
43124|26|1799-01-01 00:00:00|M|0||0|2023-05-21|2024-09-27
47695|26|12/12/1951 00:00|M|0||0|2022-07-14|2023-10-30
49976|27||F|0||0|2022-04-15|2023-11-21
50509|27||F|0||0|2022-11-23|2024-07-21
50515|17|05/07/1990 00:00|M|0||0|2022-10-31|2024-12-13
51021|26|1799-01-01 00:00:00|M|0||0|2023-06-23|2024-04-11
53874|26||F|0||0|2022-09-23|2023-11-27
55070|9||F|0||0|2023-05-25|2023-11-03
57018|26|14/10/1977 00:00|M|0||0|2022-06-01|2023-11-10
57715|26|1799-01-01 00:00:00|M|0||0|2022-05-24|2024-04-08
57976|6|07/03/1987 00:00|M|0||0|2022-06-30|2024-10-20
58287|26|1799-01-01 00:00:00|M|0||0|2022-07-08|2023-11-12
58793|26|1799-01-01 00:00:00|M|0||0|2023-01-18|2024-10-24
59015|26|1799-01-01 00:00:00|M|0||0|2022-11-02|2023-08-22
59292|26|1799-01-01 00:00:00|M|0||0|2022-01-04|2024-09-19
60037|26||M|0||0|2022-01-15|2024-06-18
63374|26|1799-01-01 00:00:00|M|0||0|2022-08-31|2023-08-01
64766|26|1799-01-01 00:00:00|M|1||0|2022-03-04|2024-11-23
67614|26|1799-01-01 00:00:00|M|1||0|2022-01-01|2023-07-25
