1|1|Main Store Portugal|https://www.store.pt|PT|Y|2019-03-02||YES
2|2|Main Store Spain|https://www.store.es|ES|Y|2019-05-01||YES
3|3|Main Store France|https://www.store.fr|FR|Y|2019-06-30||YES
4|4|Main Store Germany|https://www.store.de|DE|Y|2019-08-29||YES
5|5|Main Store Italy|https://www.store.it|IT|Y|2019-10-28||YES
6|6|Main Store Brazil|https://www.store.com.br|BR|Y|2019-12-27||YES
7|7|Main Store USA|https://www.store.com|US|Y|2020-02-25||YES
8|8|Outlet Europe|https://outlet.store.eu|OUTEU|N|2020-04-25||YES
9|9|Mobile App|https://app.store.com|APP|N|2020-06-24||YES
10|10|Internal Admin|https://admin.store.com|ADM|N|2020-08-23||YES
